Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8032;TARGET;DXJH;WISDOMTREE JAPAN HEDGE EQUITY;US;ETFB;;1;NA;NA;3881;PROM;;;32904.7;3;0;NA;127703;PROM;US;0;0;.379
8032;TARGET;EEM;ISHARES MSCI EMERGING MARKETS;US;ETFA;;1;NA;GRUPO 99;17695;PROM;;;24650.95;3;0;NA;436199;PROM;US;0;0;1.294
8032;TARGET;EWG;ISHARE MSCI GERMANY ETF;US;ETFA;;1;NA;GRUPO 99;35887;PROM;;;17857.18;3;0;NA;640841;PROM;US;0;.377;1.9
8032;TARGET;EWZ;ISHARE MSCI BRAZIL CAPPED ETF;US;ETFA;;1;NA;NA;23053;PROM;;;24482.24;3;0;NA;564389;PROM;US;0;0;1.674
8032;TARGET;GXG;GLOBAL X FTSE COLOMBIA 20 ETF;US;ETFA;;1;NA;GRUPO 99;26096;PROM;;;5963.21;3;0;NA;155616;PROM;US;0;0;.461
8032;TARGET;HEWJ;THE ISHARES CURRENCY HD MSCI J;US;ETFA;;1;NA;NA;1587;PROM;;;18227.04;3;0;NA;28926;PROM;US;0;0;.086
8032;TARGET;ISH2;ISHARES RUSSELL 2000 ETF;US;ETFA;;1;NA;NA;19348;PROM;;;89441.62;3;0;NA;1730516;PROM;US;0;0;5.132
8032;TARGET;RSX;VANECK VECTOR RUSSIA ETF;US;ETFA;;1;NA;GRUPO 99;46499;PROM;;;13087.91;3;0;NA;608575;PROM;US;0;.406;1.805
8032;TARGET;SPY;SPDR TRUST SERIES I;US;ETFA;;1;NA;NA;11594;PROM;;;153440.65;3;0;NA;1778991;PROM;US;0;0;5.276
8032;TARGET;VCR;VANGUARD CONSUMER DISCRET;US;ETFA;;1;NA;NA;7189;PROM;;;88163.33;3;0;NA;633806;PROM;US;0;0;1.88
8032;TARGET;VFH;VANGUARD FINANCIALS ETF;US;ETFA;;1;NA;GRUPO 99;16595;PROM;;;40438.2;3;0;NA;671072;PROM;US;0;0;1.99
8032;TARGET;VGK;VANGUARD FTSE EUROPE ETF;US;ETFA;;1;NA;GRUPO 99;10756;PROM;;;32216.89;3;0;NA;346525;PROM;US;0;0;1.028
8032;TARGET;FLESCCE LX;JP MORGAN FUND-EUR SMALLCAP;LU;CFME;;1;NA;NA;13655.46;ECU;;;21404.22;3;0;NA;292284;ECU;LU;0;0;.867
8032;TARGET;GAMSCOU ID;GAM STAR CREDIT OPPORTUNITIES;GB;CFME;;1;NA;NA;99540.36;PROM;;;10057.7;3;0;NA;1001147;PROM;GB;0;0;2.969
8032;TARGET;INLACIA LX;INVESTEC LATIN AMERICA CORP;LU;CFME;;1;NA;NA;81259.88;PROM;;;17720.91;3;0;NA;1439999;PROM;LU;0;0;4.27
8032;TARGET;JBLEMBC LX;JULIUS BAER MULTIBOND;LU;CFME;;1;NA;NA;338.7;PROM;;;202551.99;3;0;NA;68604;PROM;LU;0;0;.203
8032;TARGET;JPECCAU LX;JP MORGAN FUNDS-EME MKTS;LU;CFME;;1;NA;NA;7010.66;PROM;;;94496.34;3;0;NA;662482;PROM;LU;0;0;1.965
8032;TARGET;JPJECAJ LX;JPMORGAN FUNDS - JAPAN EQUITY;LU;CFME;;1;NA;NA;7365.05;YY;;;60123.44;3;0;NA;442812;YY;LU;0;0;1.313
8032;TARGET;MERDUD2 LX;BLACKROCK GLOBAL FUNDS - ASIAN;LU;CFME;;1;NA;NA;49556.93;ECU;;;25163.57;3;0;NA;1247029;ECU;LU;0;0;3.698
8032;TARGET;OMEIUSA ID;OLD MUTUAL GLOBAL INVESTORS;IE;CFME;;1;NA;NA;490380.87;PROM;;;1048.07;3;0;NA;513953;PROM;IE;0;0;1.524
8032;TARGET;PBIINEY ID;PINEBRIDGE GLOBAL FUNDS PB IN;IN;CFME;;1;NA;NA;427.72;PROM;;;279358.59;3;0;NA;119487;PROM;IN;0;0;.354
8032;TARGET;RGHYBID LX;ROBECO HIGH YIELD BONDS FUND;LU;CFME;;1;NA;NA;3883.05;PROM;;;168325.84;3;0;NA;653618;PROM;LU;0;0;1.938
