Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8032;TARGET;PROM;FORWARD;$$;05/06/2017;$$;CL;V;690000;658.54;454393;463969
8032;TARGET;PROM;FORWARD;$$;12/06/2017;$$;CL;V;680000;663.34;451071;457361
8032;TARGET;PROM;FORWARD;$$;13/06/2017;$$;CL;V;360000;672.3;242028;242141
8032;TARGET;PROM;FORWARD;$$;03/07/2017;$$;CL;V;675000;665.48;449199;454347
8032;TARGET;PROM;FORWARD;$$;20/07/2017;$$;CL;V;1350000;651.95;880133;909260
8032;TARGET;PROM;FORWARD;$$;21/11/2017;$$;CL;V;315000;672.56;211856;213155
8032;TARGET;PROM;FORWARD;$$;22/08/2017;$$;CL;V;835000;674.7;563375;563083
8032;TARGET;PROM;FORWARD;$$;25/08/2017;$$;CL;V;680000;676.08;459734;458610
8032;TARGET;PROM;FORWARD;$$;25/09/2017;$$;CL;V;680000;676.88;460278;459145
8032;TARGET;PROM;FORWARD;$$;23/06/2017;$$;CL;V;400000;667.23;266892;269144
8032;TARGET;PROM;FORWARD;$$;18/07/2017;$$;CL;V;100000;650.47;65047;67348
8032;TARGET;PROM;FORWARD;$$;02/08/2017;$$;CL;V;5700000;676.68;3857076;3840945
8048;CHECK;UF;FORWARD;$$;01/09/2017;$$;CL;V;50000;26524.74;1326237;1331636
8048;CHECK;UF;FORWARD;$$;28/06/2017;$$;CL;V;40000;26548.93;1061957;1065308
8048;CHECK;UF;FORWARD;$$;13/07/2017;$$;CL;V;100000;26591.95;2659195;2663270
8048;CHECK;UF;FORWARD;$$;24/07/2017;$$;CL;V;150000;26641.21;3996181;3994905
8048;CHECK;UF;FORWARD;$$;14/08/2017;$$;CL;V;100000;26642.46;2664246;2663270
8048;CHECK;UF;FORWARD;$$;01/08/2017;$$;CL;V;21000;26623.05;559084;559287
8048;CHECK;UF;FORWARD;$$;17/07/2017;$$;CL;V;40000;26627.35;1065094;1065308
8048;CHECK;UF;FORWARD;$$;13/09/2017;$$;CL;V;40000;26612.45;1064498;1065308
8048;CHECK;UF;FORWARD;$$;01/08/2017;$$;CL;V;50000;26619.84;1330992;1331635
8048;CHECK;UF;FORWARD;$$;21/08/2017;$$;CL;V;100000;26613.1;2661310;2663270
8048;CHECK;UF;FORWARD;$$;17/11/2017;$$;CL;V;20000;26633.3;532666;532654
8048;CHECK;UF;FORWARD;$$;13/09/2017;$$;CL;V;75000;26629.31;1997198;1997453
8048;CHECK;UF;FORWARD;$$;11/08/2017;$$;CL;V;28000;26631.07;745670;745716
8055;FIRST;UF;FORWARD;$$;09/11/2017;$$;CL;V;300000;27026;8107800;8076107
8055;FIRST;UF;FORWARD;$$;13/06/2017;$$;CL;V;30000;26659;799770;799387
8055;FIRST;UF;FORWARD;$$;16/03/2018;$$;CL;V;400000;27160;10864000;10830924
8055;FIRST;UF;FORWARD;$$;09/06/2017;$$;CL;V;250000;26650;6662500;6661611
8055;FIRST;UF;FORWARD;$$;09/11/2017;$$;CL;C;300000;27003;8100900;8076020
8055;FIRST;TASA;FORWARD;$$;09/06/2017;$$;CL;V;250000000;1.05;262797;264719
8055;FIRST;TASA;FORWARD;UF;09/06/2017;UF;CL;V;20000;27419.95;548399;550912
8055;FIRST;TASA;FORWARD;$$;09/06/2017;$$;CL;V;500000000;1.05;525594;529084
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;30000;26593.13;797794;814350
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;70000;26593.14;1861520;1901281
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;85000;26593.15;2260418;2310757
8055;FIRST;UF;SWAP;$$;09/04/2019;$$;CL;V;40000;26593.15;1063726;1082078
8055;FIRST;UF;SWAP;$$;09/04/2020;$$;CL;V;30000;26593.13;797794;815803
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;35000;26635.71;932250;953342
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;20000;26635.7;532714;545818
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;86000;26635.72;2290672;2349802
8055;FIRST;UF;SWAP;$$;11/05/2020;$$;CL;C;140000;26635.71;3729000;3832053
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;16/06/2017;PROM;CL;V;2156770;712.6;1536914;1450924
8064;DE PERSONAS;UF;FORWARD UF;UF;16/06/2017;$$;CL;C;55430;26844;1487963;1477004
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;20/07/2017;PROM;CL;V;2246000;680.9;1529301;1512793
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;27/07/2017;PROM;CL;V;3000000;668.13;2004390;2021040
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;14/07/2017;PROM;CL;V;4600000;645.93;2971278;3097134
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;01/09/2017;PROM;CL;V;530000;659.97;349784;357485
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;01/09/2017;PROM;CL;V;420000;659.77;277103;283290
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;01/09/2017;PROM;CL;V;2900000;660.89;1916581;1956050
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;01/09/2017;PROM;CL;V;2800000;661.75;1852900;1888628
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;08/09/2017;PROM;CL;V;1610000;667.77;1075110;1086315
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;08/09/2017;PROM;CL;V;2600000;672.58;1748708;1754376
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;08/09/2017;PROM;CL;V;2150000;671.47;1443661;1450713
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;15/09/2017;PROM;CL;V;1060000;670.46;710688;715415
8064;DE PERSONAS;UF;FORWARD UF;UF;15/09/2017;$$;CL;C;200000;26843;5368600;5348714
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;15/09/2017;PROM;CL;V;2920000;675.37;1972080;1970883
8064;DE PERSONAS;UF;FORWARD UF;UF;15/09/2017;$$;CL;C;200000;26845;5369000;5348718
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;15/09/2017;PROM;CL;V;2600000;667.5;1735500;1754740
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;22/09/2017;PROM;CL;V;3000000;668;2004000;2025210
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;29/09/2017;PROM;CL;V;1600000;670.15;1072240;1080432
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;01/09/2017;PROM;CL;V;1500000;668.98;1003470;1011840
8064;DE PERSONAS;UF;FORWARD UF;UF;06/10/2017;$$;CL;C;200000;26881;5376200;5357588
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;06/10/2017;PROM;CL;V;2400000;662.25;1589400;1620864
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;15/09/2017;PROM;CL;V;210000;654.85;137519;141706
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;15/09/2017;PROM;CL;V;2400000;650.5;1561200;1619400
8064;DE PERSONAS;PROM;FORWARD PROM;PROM;26/10/2017;PROM;CL;V;3000000;670.58;2011740;2027850
8105;FUTURO;$$;FORWARD;UF;06/10/2017;UF;CL;V;90000;26802;2412180;2413517
8105;FUTURO;$$;FORWARD;UF;06/10/2017;UF;CL;V;43000;26879;1155797;1159714
8105;FUTURO;$$;FORWARD;UF;06/10/2017;UF;CL;C;90000;26809;2412810;2410850
8105;FUTURO;$$;FORWARD;UF;09/06/2017;UF;CL;C;41000;26680;1093880;1092505
8105;FUTURO;$$;FORWARD;UF;09/11/2017;UF;CL;C;44000;26947;1185668;1184452
8106;BBVA FAMILIA;$$;FORWARD;UF;09/06/2017;UF;CL;C;95000;26680;2534600;2531414
8106;BBVA FAMILIA;$$;FORWARD;UF;09/11/2017;UF;CL;C;66000;26947;1778502;1776677
8106;BBVA FAMILIA;$$;FORWARD;UF;06/10/2017;UF;CL;V;135000;26802;3618270;3620275
8107;COMPETITIVO;UF;FORWARD UF;UF;23/06/2017;$$;CL;V;200000;26655;5331000;5334106
8107;COMPETITIVO;UF;FORWARD UF;UF;21/06/2017;$$;CL;V;500000;26671;13335500;13334673
8107;COMPETITIVO;UF;FORWARD UF;UF;06/07/2017;$$;CL;V;159688;26712;4265580;4263700
8107;COMPETITIVO;UF;FORWARD UF;UF;28/06/2017;$$;CL;V;100000;26694;2669400;2668473
8107;COMPETITIVO;UF;FORWARD UF;UF;19/07/2017;$$;CL;V;50000;26735;1336750;1336319
8107;COMPETITIVO;UF;FORWARD UF;UF;02/06/2017;$$;CL;V;250000;26646;6661500;6658669
8107;COMPETITIVO;UF;FORWARD UF;UF;19/07/2017;$$;CL;V;50000;26663;1333150;1335469
8107;COMPETITIVO;UF;FORWARD UF;UF;01/08/2017;$$;CL;V;250000;26768;6692000;6696897
8107;COMPETITIVO;UF;FORWARD UF;UF;01/12/2017;$$;CL;V;150000;27022;4053300;4054406
8107;COMPETITIVO;UF;FORWARD UF;UF;01/12/2017;$$;CL;V;75000;27020;2026500;2027078
8118;GOLD;UF;FORWARD;$$;24/05/2018;$$;CL;V;200000;27295;5459000;5456087
8118;GOLD;UF;FORWARD;$$;09/06/2017;$$;CL;V;400000;26650;10660000;10658577
8118;GOLD;TASA;FORWARD;$$;09/06/2017;$$;CL;V;750000000;1.05;788391;794157
8118;GOLD;TASA;FORWARD;$$;09/06/2017;$$;CL;V;1000000000;1.05;1051188;1058168
8118;GOLD;TASA;FORWARD;$$;09/06/2017;$$;CL;V;1000000000;1.05;1051188;1058876
8118;GOLD;TASA;FORWARD;$$;09/06/2017;$$;CL;V;30000;27419.93;822598;826368
8118;GOLD;TASA;FORWARD;$$;09/06/2017;$$;CL;V;1500000000;1.05;1576782;1587252
8118;GOLD;UF;SWAP;$$;09/10/2019;$$;CL;V;100000;26593.15;2659315;2732745
8118;GOLD;UF;SWAP;$$;09/04/2019;$$;CL;V;70000;26593.14;1861520;1892316
8118;GOLD;UF;SWAP;$$;09/04/2020;$$;CL;V;130000;26593.15;3457109;3528853
8118;GOLD;UF;SWAP;$$;09/04/2020;$$;CL;V;75000;26593.15;1994486;2038903
8118;GOLD;UF;SWAP;$$;09/04/2019;$$;CL;V;10000;26593.1;265931;270519
8118;GOLD;CLP;SWAP;ICP;27/04/2020;$$;CL;V;2000000000;1;2000000;2055177
8118;GOLD;UF;SWAP;$$;28/10/2019;$$;CL;C;70000;26619.06;1863334;1905142
8118;GOLD;UF;SWAP;$$;04/11/2019;$$;CL;C;90000;26626.63;2396397;2448650
8118;GOLD;UF;SWAP;$$;10/02/2020;$$;CL;C;100000;26543.38;2654338;2711415
8118;GOLD;UF;SWAP;$$;11/05/2020;$$;CL;C;30000;26635.7;799071;817150
8118;GOLD;UF;SWAP;$$;11/05/2020;$$;CL;C;60000;26635.72;1598143;1637455
8118;GOLD;UF;SWAP;$$;11/05/2020;$$;CL;C;160000;26635.72;4261715;4379490
8177;CASH;UF;FORWARD;$$;23/06/2017;$$;CL;V;40000;26686;1067440;1067988
8177;CASH;UF;FORWARD;$$;19/06/2017;$$;CL;V;20000;26643;532860;532472
8177;CASH;UF;FORWARD;$$;01/09/2017;$$;CL;V;95500;26705;2550328;2544539
8177;CASH;UF;FORWARD;$$;13/07/2017;$$;CL;V;60000;26658;1599480;1597131
8177;CASH;UF;FORWARD;$$;03/07/2017;$$;CL;V;110000;26676;2934360;2933111
8177;CASH;UF;FORWARD;$$;07/08/2017;$$;CL;V;50000;26694;1334700;1332206
8177;CASH;UF;FORWARD;$$;13/09/2017;$$;CL;V;90000;26763;2408670;2404443
8177;CASH;UF;FORWARD;$$;14/08/2017;$$;CL;V;20000;26705;534100;533071
8177;CASH;UF;FORWARD;$$;23/06/2017;$$;CL;V;50000;26606;1330300;1326942
8177;CASH;UF;FORWARD;$$;23/06/2017;$$;CL;V;50000;26607;1330350;1326872
8177;CASH;UF;FORWARD;$$;03/07/2017;$$;CL;V;70000;26625;1863750;1858719
8177;CASH;UF;FORWARD;$$;01/09/2017;$$;CL;V;115500;26737;3088124;3078722
8177;CASH;UF;FORWARD;$$;24/07/2017;$$;CL;V;65000;26661;1732965;1727796
8177;CASH;UF;FORWARD;$$;05/09/2017;$$;CL;V;50000;26804;1340200;1337202
8177;CASH;UF;FORWARD;$$;21/08/2017;$$;CL;V;120000;26809;3217080;3214081
8177;CASH;UF;FORWARD;$$;27/06/2017;$$;CL;V;75000;26702;2002650;2002542
8177;CASH;UF;FORWARD;$$;26/12/2017;$$;CL;V;60000;27114;1626840;1626371
8177;CASH;UF;FORWARD;$$;03/07/2017;$$;CL;V;20000;26733;534660;534996
8177;CASH;UF;FORWARD;$$;13/06/2017;$$;CL;V;40000;26677;1067080;1067639
8177;CASH;UF;FORWARD;$$;14/08/2017;$$;CL;V;40000;26780;1071200;1070571
8177;CASH;UF;FORWARD;$$;13/11/2017;$$;CL;V;30000;27019;810570;810473
8177;CASH;UF;FORWARD;$$;17/07/2017;$$;CL;V;25386;26727;678492;678155
8177;CASH;UF;FORWARD;$$;18/07/2017;$$;CL;V;15000;26729;400935;400733
8177;CASH;UF;FORWARD;$$;13/06/2017;$$;CL;C;40000;26685;1067400;1066731
8177;CASH;UF;FORWARD;$$;03/07/2017;$$;CL;C;20000;26712;534240;534319
8177;CASH;UF;FORWARD;$$;01/08/2017;$$;CL;V;32000;26746;855872;855112
8177;CASH;UF;FORWARD;$$;01/08/2017;$$;CL;V;18000;26741;481338;480869
