Run Fondo;Nombre Fondo;FFM_6020100;FFM_6020200;FFM_6020300;FFM_6020400;FFM_6020500;FFM_6020600;FFM_6020700;FFM_6020800;FFM_6020900;FFM_6021000;FFM_tir_6021111;FFM_par_6021111;FFM_rel_6021111;FFM_6021112;FFM_6021113;FFM_6021114;FFM_6021200;FFM_6021300;FFM_6021400;FFM_6021511;FFM_6021512;FFM_6021513
8032;TARGET;IAJI;ISHARES MSCI ALL COUNTRY ASIA;US;ETFA;;1;NA;NA;27280;PROM;;;45324.1;3;0;NA;1236441;PROM;US;0;0;2.335
8032;TARGET;GLCM;GLOBAL X COPPER MINERS ETF;US;ETFA;;1;NA;NA;31458;PROM;;;16653.01;3;0;NA;523870;PROM;US;0;0;.989
8032;TARGET;DXJH;WISDOMTREE JAPAN HEDGE EQUITY;US;ETFB;;1;NA;NA;28962;PROM;;;32740.01;3;0;NA;948216;PROM;US;0;0;1.79
8032;TARGET;EEM;ISHARES MSCI EMERGING MARKETS;US;ETFA;;1;NA;GRUPO 99;17695;PROM;;;28193.14;3;0;NA;498878;PROM;US;0;0;.942
8032;TARGET;EUFN;ISHARES MSCI EUROPE FINANCIA;US;ETFA;;1;NA;NA;26147;PROM;;;14256.94;3;0;NA;372776;PROM;US;0;0;.704
8032;TARGET;EWG;ISHARE MSCI GERMANY ETF;US;ETFA;;1;NA;GRUPO 99;35887;PROM;;;19344.66;3;0;NA;694222;PROM;US;0;.408;1.311
8032;TARGET;EWP;ISHARE MSCI SPAIN CAPPED ETF;US;ETFA;;1;NA;GRUPO 99;13271;PROM;;;21199.88;3;0;NA;281344;PROM;US;0;0;.531
8032;TARGET;EWQ;ISHARES MSCI FRANCE ETF;US;ETFA;;1;NA;GRUPO 99;26565;PROM;;;18678.03;3;0;NA;496182;PROM;US;0;.331;.937
8032;TARGET;EWZ;ISHARE MSCI BRAZIL CAPPED ETF;US;ETFA;;1;NA;NA;24172;PROM;;;25155.6;3;0;NA;608061;PROM;US;0;0;1.148
8032;TARGET;EZU;ISHARES MSCI EUROZONE ETF;US;ETFA;;1;NA;NA;50108;PROM;;;26306.47;3;0;NA;1318165;PROM;US;0;0;2.489
8032;TARGET;FXI;ISHARES CHINA LARGE-CAP ETF;US;ETFA;;1;NA;GRUPO 99;11294;PROM;;;27822.09;3;0;NA;314223;PROM;US;0;0;.593
