Run Fondo;Nombre Fondo;FFM_6040111;FFM_6040112;FFM_6040113;FFM_6040114;FFM_6040115;FFM_6040116;FFM_6040200;FFM_6040300;FFM_6040400;FFM_6040500;FFM_6040600
8676;RENTA BONOS CHILE;UF;FORWARD;$$;19/06/2018;$$;CL;V;66000;27311;1802526;1789387
8684;SELECCION LATAM;USD;FORWARD;PROM;31/01/2018;$$;CL;V;109000;614.5;66981;67018
8707;SELECCION GLOBAL;USD;FORWARD;PROM;31/01/2018;$$;CL;V;3211000;614.5;1973160;1974277
8707;SELECCION GLOBAL;USD;FORWARD;PROM;04/01/2018;$$;CL;V;1296000;619.4;802742;796624
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;31/01/2018;$$;CL;V;468000;614.5;287586;287749
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;04/01/2018;$$;CL;V;791000;619.4;489945;486211
8773;ESTRATEGIA CONSERVAD;USD;FORWARD;$$;04/01/2018;$$;CL;V;3826000;655.17;2506680;2351762
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;31/01/2018;$$;CL;V;2723000;614.5;1673284;1674231
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;04/01/2018;$$;CL;V;1283000;619.4;794690;788633
8774;ESTRATEGIA EQUILIBRA;USD;FORWARD;$$;04/01/2018;$$;CL;V;4895000;655.17;3207057;3008854
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;31/01/2018;$$;CL;V;1771000;614.5;1088280;1088896
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;04/01/2018;$$;CL;V;832000;619.4;515341;511412
8775;ESTRATEGIA ACTIVA;USD;FORWARD;$$;04/01/2018;$$;CL;V;2527000;655.17;1655615;1553294
8916;EMERGENTES;USD;FORWARD;$$;31/01/2018;$$;CL;V;274000;614.5;168373;168468
8916;EMERGENTES;USD;FORWARD;$$;04/01/2018;$$;CL;V;130000;619.4;80522;79908
8916;EMERGENTES;USD;FORWARD;$$;04/01/2018;$$;CL;V;47000;655.17;30793;28890
8980;ASIA EMERGENTE;USD;FORWARD;PROM;31/01/2018;$$;CL;V;486000;614.5;298647;298816
8980;ASIA EMERGENTE;USD;FORWARD;PROM;04/01/2018;$$;CL;V;240000;619.4;148656;147523
9003;RENTA ACTIVA;UF;FORWARD;$$;02/04/2018;$$;CL;V;80000;26900;2152000;2153321
9084;RENTA LOCAL UF;UF;FORWARD;UF;03/07/2018;$$;CL;V;21000;27173;570633;569910
9084;RENTA LOCAL UF;UF;FORWARD;UF;02/04/2018;$$;CL;V;54000;26951;1455354;1453492
9084;RENTA LOCAL UF;UF;FORWARD;UF;19/06/2018;$$;CL;V;14000;27311;382354;379567
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;50000;26922;1346100;1353873
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;02/04/2018;$$;CL;V;10000;26900;269000;269165
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;03/07/2018;$$;CL;V;22000;27173;597806;59709
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;01/06/2018;$$;CL;V;40000;27254;1090160;1083098
9106;RENTA CORTO PLAZO;UF;FORWARD;$$;06/02/2018;$$;CL;V;30000;27006;810180;805426
9145;RENTA NOMINAL CHILE;UF;FORWARD;UF;01/06/2018;$$;CL;V;50000;26922;1346100;1353872
9145;RENTA NOMINAL CHILE;UF;FORWARD;UF;02/04/2018;$$;CL;V;10000;26900;269000;269165
9145;RENTA NOMINAL CHILE;UF;FORWARD;UF;02/04/2018;$$;CL;V;14000;26951;377314;376831
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;31/01/2018;$$;CL;V;19835000;614.5;12188608;12193566
9473;MULTIACTIVO AGRESIVO;USD;FORWARD;$$;04/01/2018;$$;CL;V;14387000;619.4;8911308;8844408
9474;MULTIACTIVO MODERADO;USD;FORWARD;$$;04/01/2018;$$;CL;V;3204000;619.4;1984558;1969659
9474;MULTIACTIVO MODERADO;USD;FORWARD;$$;04/01/2018;$$;CL;V;17468000;655.17;11444510;10738453
8363;RENTA A PLAZO;UF;FORWARD;$$;28/05/2018;UF;CL;V;100000;27042;2704200;2678863
8363;RENTA A PLAZO;UF;FORWARD;$$;14/05/2018;UF;CL;V;80000;26982;2158560;2143118
8411;RENDIMIENTO NOMINAL;UF;FORWARD;$$;09/01/2018;$$;CL;C;26000;1.79;685295;785565
8411;RENDIMIENTO NOMINAL;$$;FORWARD;$$;09/01/2018;$$;CL;V;600000000;4.02;668036;538076
8459;EUROAMERICA M.MARKET;UF;FORWARD;$$;12/03/2018;UF;CL;V;40000;26885;1075400;1072287
8694;PROYECCION A;PROM;FORWARD;$$;30/01/2018;PROM;CL;V;2400000;614.3;1474320;1478338
8694;PROYECCION A;PROM;FORWARD;$$;18/01/2018;PROM;CL;V;4900000;620.55;3040695;3015914
8695;PROYECCION C;PROM;FORWARD;$$;30/01/2018;PROM;CL;V;2400000;614.3;1474320;1478338
8695;PROYECCION C;PROM;FORWARD;$$;18/01/2018;PROM;CL;V;6300000;620.55;3909465;3877604
8696;PROYECCION E;UF;FORWARD;$$;09/01/2018;$$;CL;C;54000;1.79;1423304;1631557
8696;PROYECCION E;$$;FORWARD;$$;09/01/2018;$$;CL;V;1400000000;4.02;1558751;1255510
8696;PROYECCION E;$$;FORWARD;$$;09/01/2018;$$;CL;V;2500000000;4.05;2779914;2234843
8696;PROYECCION E;PROM;FORWARD;$$;18/01/2018;PROM;CL;V;2500000;620.55;1551375;1538732
8696;PROYECCION E;PROM;FORWARD;$$;14/02/2018;PROM;CL;V;1800000;638.49;1149282;1109740
8696;PROYECCION E;PROM;FORWARD;$$;23/01/2018;PROM;CL;V;2000000;635.35;1270700;1231444
8696;PROYECCION E;PROM;FORWARD;$$;16/01/2018;PROM;CL;V;2600000;631.8;1642680;1600099
8805;GESTION CONSERVADORA;PROM;FORWARD;$$;17/01/2018;PROM;CL;V;1570000;637.07;1000200;966289
8853;RENDIMIENTO UF;UF;FORWARD;$$;09/01/2018;$$;CL;C;100000;1.98;2598315;3021402
8853;RENDIMIENTO UF;UF;FORWARD;$$;09/01/2018;$$;CL;V;100000;1.62;2890145;2658208
9025;EAI RENTA CHILENA;UF;FORWARD;$$;09/01/2018;$$;CL;V;100000;1.62;2890145;2658208
9025;EAI RENTA CHILENA;UF;FORWARD;$$;09/01/2018;$$;CL;C;100000;1.98;2598315;3021402
